cohort,target,method,seed,n_folds,n_te,n_pos,n_events,n_athletes,auc,ap,auc_within_athlete,n_athletes_with_both,auc_between_athlete,f1_calibrated,event_detection_rate
runners,G2,DANN,123,5,13396,195,195,25,0.5795914839396393,0.01858113961519306,0.5633784334999461,21,0.8333333333333333,0.03640182009100455,0.26666666666666666
runners,G3,GAT,2026,5,13955,184,184,24,0.6048422488341916,0.01747018967432832,0.6171391589720321,21,0.5079365079365079,0.03524229074889868,0.2826086956521739
runners,G2,XGBoost,123,5,13396,195,195,25,0.5946515318381086,0.019149505735648734,0.5899586289225085,21,0.75,0.042702135106755336,0.3128205128205128
runners,G2,ProtoNet,2026,5,13396,195,195,25,0.5849857916746789,0.01832944812701386,0.5949980224107584,21,0.6428571428571428,0.034482758620689655,0.2512820512820513
runners,G3,ours,2026,5,13955,184,184,24,0.5901178989874754,0.017972648961135165,0.6079890956735214,21,0.4761904761904762,0.039986445272788884,0.32065217391304346
runners,G1,AthleteRate,2026,5,15415,204,204,25,0.49990251507874206,0.012991444870798894,0.5,21,0.4464285714285714,0.01775276033773544,0.20098039215686275
runners,G3,ours,123,5,13955,184,184,24,0.5717017566846524,0.016010238189189542,0.6033983619186294,21,0.4285714285714286,0.034529451591062965,0.27717391304347827
runners,G3,Transformer,2026,5,13955,184,184,24,0.6168434848910598,0.01929508031163839,0.6089494261803786,21,0.4761904761904762,0.04066418163334463,0.32608695652173914
runners,G3,DANN,2026,5,13955,184,184,24,0.5607495114181344,0.015800764892527568,0.5388096335840068,21,0.5873015873015873,0.03185360894611996,0.2554347826086957
runners,G1,DANN,2026,5,15415,204,204,25,0.606100654711954,0.01795009849741248,0.5890778682404564,21,0.6547619047619048,0.034387473134786614,0.27450980392156865
runners,G1,ProtoNet,123,5,15415,204,204,25,0.6569542681315508,0.022222123770946345,0.6341290737530734,21,0.7142857142857142,0.04592774035517452,0.36764705882352944
runners,G3,AthleteRate,42,5,13955,184,184,24,0.46371016755437544,0.012339142236733526,0.5,21,0.3492063492063492,0.015525758645024701,0.1793478260869565
runners,G1,XGBoost,2026,5,15415,204,204,25,0.55571174627237,0.016266723415536255,0.5616150107944006,21,0.5119047619047619,0.03315934909425852,0.2647058823529412
runners,G2,Transformer,42,5,13396,195,195,25,0.6229545547248752,0.020152482036162635,0.6094538565761509,21,0.6785714285714286,0.04414856341976174,0.3230769230769231
runners,G3,ProtoNet,123,5,13955,184,184,24,0.5960580362639826,0.020148595569426456,0.5839155090976716,21,0.4444444444444445,0.037914691943127965,0.30434782608695654
runners,G1,XGBoost,123,5,15415,204,204,25,0.5683683505615775,0.016714235153877162,0.5659534517141652,21,0.5476190476190476,0.032455603184323334,0.25980392156862747
runners,G2,GAT,42,5,13396,195,195,25,0.6290203345123427,0.020798197885844687,0.6170059942684321,21,0.75,0.04484933426769446,0.3282051282051282
runners,G3,XGBoost,2026,5,13955,184,184,24,0.5317909722068745,0.01630268959782847,0.5114587528864005,21,0.39682539682539686,0.031175872585564215,0.25
runners,G1,GAT,123,5,15415,204,204,25,0.6480520418015343,0.022494158935461618,0.6273071549857498,21,0.6428571428571428,0.047764849969381504,0.38235294117647056
runners,G1,DANN,42,5,15415,204,204,25,0.6184955804687268,0.020050113530761634,0.5979279187094226,21,0.75,0.0421760391198044,0.3382352941176471
runners,G1,LSTM,42,5,15415,204,204,25,0.6528534561546662,0.021295149729286044,0.6343136190772047,21,0.6785714285714286,0.04095354523227384,0.3284313725490196
runners,G2,ours,42,5,13396,195,195,25,0.6076031536072443,0.02223871056575706,0.5846777324942252,21,0.6666666666666667,0.04765241765942537,0.3487179487179487
runners,G2,AthleteRate,123,5,13396,195,195,25,0.4974320127263086,0.015010425936612556,0.5,21,0.4880952380952381,0.030902683654106804,0.2923076923076923
runners,G1,Transformer,123,5,15415,204,204,25,0.6389986735605425,0.018927984142637373,0.6388120396175152,21,0.6904761904761905,0.041641151255358236,0.3333333333333333
runners,G3,ours,42,5,13955,184,184,24,0.5678161890298768,0.01719903013259193,0.6072887115055222,21,0.41269841269841273,0.02707275803722504,0.21739130434782608
runners,G3,AthleteRate,123,5,13955,184,184,24,0.41452066882831906,0.011327361677449643,0.5,21,0.38888888888888895,0.020794392523364486,0.483695652173913
runners,G2,XGBoost,2026,5,13396,195,195,25,0.5871763794118161,0.018517761423824292,0.5842438173912297,21,0.5952380952380952,0.033075299085151305,0.24102564102564103
runners,G2,ProtoNet,123,5,13396,195,195,25,0.6073065560301375,0.018505907187843045,0.5764112210237716,21,0.7976190476190477,0.03780189009450473,0.27692307692307694
