target,method,seed,split_id,n_te,n_pos,n_events,auc,ap,prevalence,lift,brier,brier_skill,auc_within_athlete,n_athletes_with_both,auc_between_athlete,n_athletes_test,thr_calibrated,f1_calibrated,precision_calibrated,recall_calibrated,f1_oracle,event_detection_rate,event_detection_ci
G3_1,DANN,42,,3128,65,65,0.5838870890780783,0.025389833052933203,0.02078005115089514,1.2218368890703855,0.08782077247897623,-3.315890208749268,0.5757522871899478,4,1.0,5,0.33588796854019165,0.04354136429608128,0.02403846153846154,0.23076923076923078,0.05327650506126798,0.23076923076923078,"(np.float64(0.14513708450988846), np.float64(0.3464493980820327))"
G1_1,LSTM,2026,,3006,39,39,0.6767519639107101,0.021769308263931905,0.012974051896207584,1.6779112984969053,0.0756223022186735,-4.905350697422186,0.6688084794289539,4,1.0,5,0.2921679656516965,0.04120443740095087,0.02195945945945946,0.3333333333333333,0.0425531914893617,0.3333333333333333,"(np.float64(0.20632766106915157), np.float64(0.4902289567975947))"
G3_2,LSTM,2026,,2874,36,36,0.5727037820061076,0.016111058751058296,0.012526096033402923,1.2861995236261539,0.08147864653057714,-5.58722415032493,0.6378091024958757,4,0.0,5,0.30941967487335204,0.026533996683250415,0.014109347442680775,0.2222222222222222,0.036734693877551024,0.2222222222222222,"(np.float64(0.11716192974839595), np.float64(0.38085019827859085))"
G1_3,DANN,123,,1395,21,21,0.5934705760033271,0.023336086235494047,0.015053763440860216,1.5501828713578187,0.10087846513429853,-5.803632602515189,0.5111686136441513,4,0.5,5,0.3925013542175293,0.02,0.010752688172043012,0.14285714285714285,0.05555555555555555,0.14285714285714285,"(np.float64(0.04980921798213492), np.float64(0.346364941492295))"
G2_2,DANN,42,,1867,14,14,0.5219335440598257,0.008811675179484831,0.007498660953401178,1.1750998257212986,0.12119245606141199,-15.283987779517656,0.577185999647161,4,0.25,5,0.3991919159889221,0.010443864229765013,0.005420054200542005,0.14285714285714285,0.020356234096692113,0.14285714285714285,"(np.float64(0.040093073737921175), np.float64(0.39941907763863693))"
G2_4,LSTM,123,,3058,36,36,0.6388888888888888,0.021178474636206406,0.011772400261608895,1.7989937621533107,0.07911402029319875,-5.800352978758437,0.6236466171841633,4,,4,0.3457991936408968,0.03421461897356143,0.018121911037891267,0.3055555555555556,0.041379310344827586,0.3055555555555556,"(np.float64(0.18004270282805354), np.float64(0.46856578679083716))"
G2_2,DANN,123,,1751,19,19,0.5529962319192901,0.013879759671725295,0.010850942318675044,1.2791294307995258,0.11096909717565719,-9.338864802165492,0.5951962445384327,4,1.0,5,0.4037345051765442,0.021739130434782608,0.011461318051575931,0.21052631578947367,0.04,0.21052631578947367,"(np.float64(0.08507538491591576), np.float64(0.43334714240266087))"
G1_4,ours,123,,3626,49,49,0.5824856081655474,0.02992520439763276,0.013513513513513514,2.214465125424824,0.19586898162174105,-13.692856758365119,0.5172923637537656,4,,4,0.5028311014175415,0.04139715394566624,0.022099447513812154,0.32653061224489793,0.08888888888888889,0.32653061224489793,"(np.float64(0.21207321329264214), np.float64(0.4662105631259371))"
G3_1,GAT,2026,,3344,41,41,0.6566905178588571,0.02870162620175006,0.012260765550239234,2.3409326346012733,0.0635735768808452,-4.249485666418871,0.6251343431424564,4,0.75,5,0.2801617651022042,0.048295454545454544,0.02564102564102564,0.4146341463414634,0.07868852459016394,0.4146341463414634,"(np.float64(0.2775633082533015), np.float64(0.5663316464316339))"
G3_1,Transformer,123,,2690,28,28,0.7101266502092949,0.027014689192370586,0.010408921933085501,2.5953397831241745,0.04375326599661495,-3.247652249625757,0.6204902944261851,4,0.75,5,0.23947135380990373,0.038869257950530034,0.020446096654275093,0.39285714285714285,0.08275862068965517,0.39285714285714285,"(np.float64(0.23565451827580033), np.float64(0.575912739650937))"
G1_3,ProtoNet,42,,2186,21,21,0.7242934125151215,0.02229805581193249,0.00960658737419945,2.3211214288040205,0.23814005373479205,-24.029695550794287,0.6705667765228922,4,0.75,5,0.5356520817789969,0.039301310043668124,0.020594965675057208,0.42857142857142855,0.05194805194805195,0.42857142857142855,"(np.float64(0.24469699486521043), np.float64(0.6345378370296754))"
G2_3,LSTM,42,,2366,33,33,0.5809401343049007,0.03194594366618051,0.013947590870667794,2.290427354975245,0.06762577093867152,-3.917145178931558,0.5007618547133031,4,0.75,5,0.2753968432142927,0.031746031746031744,0.016985138004246284,0.24242424242424243,0.05263157894736842,0.24242424242424243,"(np.float64(0.12831561346647294), np.float64(0.4102494868549029))"
G1_3,XGBoost,42,,2186,21,21,0.6106895414054767,0.024000780047240565,0.00960658737419945,2.4983669134889466,0.1018671658455477,-9.706742136607739,0.5535686472331407,4,0.75,5,0.412243178042793,0.03056768558951965,0.016018306636155607,0.3333333333333333,0.1,0.3333333333333333,"(np.float64(0.17194536432683688), np.float64(0.5462692434278971))"
G1_2,GAT,42,,3050,49,49,0.6675121898142795,0.026610395835972883,0.016065573770491802,1.6563613734636184,0.06939332796742287,-3.389906993022401,0.6310551504872249,4,1.0,5,0.27052971720695496,0.05454545454545454,0.029459901800327332,0.3673469387755102,0.052554744525547446,0.3673469387755102,"(np.float64(0.24664982524781226), np.float64(0.5073318861311014))"
G2_4,XGBoost,123,,3058,36,36,0.6502684020883888,0.01995076507402448,0.011772400261608895,1.694706655454635,0.1197425232180707,-9.292631084000938,0.6455125932971799,4,,4,0.44061955638591516,0.04665629860031104,0.02471169686985173,0.4166666666666667,0.053691275167785234,0.4166666666666667,"(np.float64(0.2714033350508729), np.float64(0.5780003033572231))"
G3_0,LSTM,42,,1608,16,16,0.5227701005025126,0.015894897202583608,0.009950248756218905,1.5974371688596527,0.05767709170745272,-4.854804477569842,0.42470046423321745,5,0.0,6,0.2698751810739732,0.023809523809523808,0.0125,0.25,0.058823529411764705,0.25,"(np.float64(0.10181901984237346), np.float64(0.49498768929398645))"
