target,method,seed,split_id,n_te,n_pos,n_events,auc,ap,prevalence,lift,brier,brier_skill,auc_within_athlete,n_athletes_with_both,auc_between_athlete,n_athletes_test,thr_calibrated,f1_calibrated,precision_calibrated,recall_calibrated,f1_oracle,event_detection_rate,event_detection_ci
G2,DANN,5,81b3995edf,12520,130,130,0.5583081889861551,0.013173466937822027,0.010383386581469648,1.2687062004733214,0.1214079586586005,-10.81520213752971,0.5377520345462578,19,0.7894736842105263,25,0.4644594192504883,0.026113671274961597,0.0137429264349232,0.26153846153846155,0.02947950253339475,0.26153846153846155,"(np.float64(0.19361426783893437), np.float64(0.3431515807462589))"
G2,GAT,4,655af3faaa,12387,130,130,0.6184600950163486,0.014311117112561403,0.010494873657867118,1.3636292897946007,0.06244013070006135,-5.012686220549527,0.5999114147167752,21,0.8095238095238095,25,0.2756315403020204,0.02999210734017364,0.015806988352745424,0.2923076923076923,0.033818058843422386,0.2923076923076923,"(np.float64(0.22098338444253135), np.float64(0.37555461271231444))"
G1,DANN,0,d0ac34feb2,14386,136,136,0.6123588751289989,0.012598403200389715,0.009453635478937857,1.332651679711812,0.07774388707689449,-7.30218850711935,0.5691462025021662,21,0.7976190476190477,25,0.33018410205841064,0.024365482233502538,0.012770485987938986,0.2647058823529412,0.027256478999106343,0.2647058823529412,"(np.float64(0.19776216959715454), np.float64(0.3445771629047618))"
G2,ours,2,bd4cc493ce,12446,130,130,0.6508244435006371,0.0253971163384816,0.010445122931062189,2.431480845759554,0.21814978554181136,-20.105777291079296,0.6260185360414434,21,0.6904761904761905,25,0.47756320238113403,0.03583950136345929,0.01887566680344686,0.35384615384615387,0.03993524015110631,0.35384615384615387,"(np.float64(0.2769231466844021), np.float64(0.4391591476097486))"
G3,LSTM,6,8b4d976864,13039,123,123,0.6432643573106528,0.01712972844055301,0.009433238745302554,1.8158904807835017,0.06173348023226167,-5.60657217545212,0.606891532624095,20,0.575,24,0.2822258227011737,0.033786265148733015,0.01769230769230769,0.37398373983739835,0.03859060402684564,0.37398373983739835,"(np.float64(0.29350763399946533), np.float64(0.46209305221073693))"
G3,GAT,3,fc23185e4f,13056,123,123,0.6133933549959485,0.013038422181903531,0.00942095588235294,1.383980813064492,0.05803341948461856,-5.2186205103812995,0.6282490287056836,19,0.44210526315789467,24,0.2692669942175928,0.028072837632776935,0.014723438121766812,0.3008130081300813,0.027602760276027604,0.3008130081300813,"(np.float64(0.22680566759840015), np.float64(0.38688573963708106))"
G1,ours,3,b459cef7c3,14405,136,136,0.6512230338908288,0.02325794957144829,0.009441166261714682,2.463461496887593,0.20977176590838487,-21.43061148466009,0.600971600591678,20,0.8,25,0.5111254453659058,0.0326197757390418,0.017100106875667972,0.35294117647058826,0.04128113879003559,0.35294117647058826,"(np.float64(0.2776715645733574), np.float64(0.4362905182403404))"
G3,AthleteRate,3,fc23185e4f,13056,123,123,0.6004979384055033,0.013038093401921896,0.00942095588235294,1.383945914272295,0.35573458142965325,-37.119042165293635,0.5,19,0.7631578947368421,24,1.0,0.029231995748073347,0.01510989010989011,0.44715447154471544,0.029231995748073347,0.44715447154471544,"(np.float64(0.3622123329815222), np.float64(0.5352976322034013))"
G2,ours,123,148765553e,12469,130,130,0.6364270262519716,0.03688732181062799,0.0104258561231855,3.538061658897849,0.21405869738526798,-19.747836245539606,0.5922379783234937,20,0.7899999999999999,25,0.501978874206543,0.029272151898734177,0.015429524603836531,0.2846153846153846,0.0322030687630233,0.2846153846153846,"(np.float64(0.2141010882972002), np.float64(0.3674938717152324))"
G3,LSTM,2,60e313bbf8,13060,123,123,0.6155842164435403,0.015074174087067993,0.009418070444104134,1.6005586469683577,0.05952176582689533,-5.38004102293871,0.5896807045912523,21,0.4761904761904762,24,0.26167688369750974,0.025594149908592323,0.01339969372128637,0.2845528455284553,0.03096774193548387,0.2845528455284553,"(np.float64(0.21228461225470585), np.float64(0.3698713996530595))"
