cohort,target,method,seed,n_folds,n_te,n_pos,n_events,n_athletes,auc,ap,auc_within_athlete,n_athletes_with_both,auc_between_athlete,f1_calibrated,event_detection_rate
soccermon,TeamA-2020,ProtoNet,42,5,9531,427,28,27,0.7777714610866675,0.11018570790877373,0.7300052375368528,11,0.9034090909090909,0.20885259991405242,0.6428571428571429
soccermon,TeamB-2020,Transformer,123,3,5295,35,3,15,0.7595219989136338,0.1555319645431739,0.777787277786332,3,0.7500000000000001,0.04364326375711575,0.6666666666666666
soccermon,TeamA-2020,ours,123,5,9531,427,28,27,0.7739941369673571,0.11039468673407185,0.6366587521694674,11,0.7954545454545454,0.19260533104041272,0.6071428571428571
soccermon,TeamB-2020,DANN,123,3,5295,35,3,15,0.7765290602933188,0.03257159819104545,0.7746848562778806,3,0.6388888888888888,0.040208488458674606,0.6666666666666666
soccermon,TeamA-2021,XGBoost,123,4,8234,62,8,23,0.7527236985457818,0.017311975011725607,0.5931879671222278,4,0.7894736842105263,0.02986857825567503,0.75
soccermon,TeamA-2020,LSTM,2026,5,9531,427,28,27,0.7166357377460766,0.0859787069638373,0.555694174666503,11,0.8295454545454546,0.1144578313253012,0.5
soccermon,TeamB-2020,LSTM,2026,3,5295,35,3,15,0.8323139598044541,0.14990986653806007,0.8512003761186938,3,0.7222222222222222,0.033630069238377844,0.6666666666666666
soccermon,TeamA-2021,GAT,2026,4,8234,62,8,23,0.5030315949031311,0.007958427235495414,0.4223811852499306,4,0.4868421052631579,0.012091898428053204,0.25
soccermon,TeamB-2020,AthleteRate,2026,3,5295,35,3,15,0.3849538294405214,0.005547012005935519,0.5,3,0.5,0.0077777777777777776,0.3333333333333333
soccermon,TeamB-2020,XGBoost,123,3,5295,35,3,15,0.6770994024986421,0.01001173185732569,0.6422328580409514,3,0.6666666666666667,0.01564945226917058,1.0
soccermon,TeamA-2021,ProtoNet,2026,4,8234,62,8,23,0.7321479323575388,0.014862209089276683,0.558413962397425,4,0.6842105263157895,0.036275695284159616,0.75
soccermon,TeamA-2021,LSTM,2026,4,8234,62,8,23,0.7926199611576904,0.01725136029044757,0.650156025761819,4,0.7236842105263158,0.03506650544135429,0.625
soccermon,TeamA-2020,DANN,123,5,9531,427,28,27,0.5807435185604393,0.06002903084374419,0.4637129365074004,11,0.8125,0.0885640584694755,0.35714285714285715
soccermon,TeamB-2020,ours,123,3,5295,35,3,15,0.7555621944595329,0.024495679914051202,0.8685120387765171,3,0.5,0.04933586337760911,0.6666666666666666
soccermon,TeamA-2020,AthleteRate,2026,5,9531,427,28,27,0.6130534793363598,0.06433075391039852,0.5,11,0.5113636363636364,0.1290545203588682,0.35714285714285715
